,,,,,Supply,Demand
Sectors,Courses,,,,Number of Students,Sector Availability
Pengurusan                                                                                                                                                                                                                                                                   Managers,Pengurusan Perniagaan,,,,324,52
,Kesetiausahaan Pentadbiran,,,,98,
,Pengurusan Peruncitan,,,,117,
,,,,,,
Profesional                                Professional,Perakaunan,,,,565,43
,Sistem Komputer & Rangkaian,,,,233,
,Multimedia Kreatif (Animasi),,,,208,
,Perbankan,,,,208,
,Sistem Pengurusan Pangkalan Data Dan Aplikasi Web,,,,220,
,,,,,,
,,,,,,
Juruteknik & Profesional Bersekutu  Technician & Associate Professional,Kosmetologi,,,,56,134
,Teknologi Automotif,,,,593,
,Teknologi Elektrik,,,,335,
,Teknologi Elektronik,,,,229,
,Teknologi Kimpalan,,,,408,
,"Troubleshouting, Pembaikpulihan dan Penyelenggaraan Peralatan Elektronik",,,,,
Pekerja Sokongan Pekeranian                                                                                                                                                                                                                             Clerical Support Workers,Kerani Audit,,,,,230
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Pekerja Perkhidmatan & Jualan                                                                                                                                                                                                                           Service & Sales Workers,Bakery Dan Pastri,,,,181,2021
,Pelancongan,,,,,
,Penyediaan & Pembuatan Makanan,,,,30,
,Insuran,,,,116,
,Operasi Jualan dan Pemasaran,,,,252,
,Automotif _ Servis Selepas Jualan  (TP-300-3:2013),,,,128,
,,,,,,
"Pekerja Mahir Pertanian, Perhutanan & Perikanan                                                                                                                                                                                                  Skilled Agricultural, Forestry & Fishery Workers",,,,,,274
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Pekerja Kemahiran & Pertukangan yang Berkaitan                                                                                                                                                                                                    Craft & Related Trade Workers,Fesyen Dan Membuat Pakaian,,,,195,851
,Seni Kulinari,,,,296,
,Operasi Pembuatan Perabot (Rb-050-2/3:2012),,,,,
,Pemasangan & Penyelenggaraan Elektrik-Tiga Fasa (EE-320-3:2012),,,,16,
,Penyeliaan Pemasangan & Penyelenggaraan HVAC,,,,49,
,,,,,,
Operator Logi & Mesin & Pemasang                                                                                                                                                                                                                        Plant & Machine Operator & Assemblers,Teknologi Pembinaan,,,,236,4596
,Teknologi Pemesinan Industri,,,,422,
,Teknologi Penyejukbekuan & Penyaman Udara,,,,682,
,Pemesin Am,,,,,
,Teknologi Pemprosesan Kayu Dan Kemasan,,,,42,
,,,,,,
Pekerjaan Asas Elementary Occupation,,,,,,41597
,,,,,,
,,,,,,
TOTAL,,,,,6239,49798
