,,,,,Supply,Demand
Sectors,Courses,,,,Number of Students,Sector Availability
Pengurusan                                                                                                                                                                                                                                                                   Managers,Penyeliaan Pemasangan & Penyelenggaraan HVAC,,,,23,0
,Penyeliaan Pemasangan & Penyelenggaraan HVAC (ME-020-3:2012),,,,24,
Profesional                                Professional,Kesetiausahaan Pentadbiran,,,,156,99
,Multimedia Kreatif (Animasi),,,,78,
,Pemasaran,,,,113,
,Perbankan,,,,70,
,Rekabentuk Grafik Industri (Print Media),,,,77,
,Sistem Komputer & Rangkaian,,,,209,
,,,,,,
Juruteknik & Profesional Bersekutu  Technician & Associate Professional,Kosmetologi,,,,174,32
,Teknologi Automotif,,,,316,
,Teknologi Elektrik,,,,330,
,Teknologi Elektronik,,,,390,
,Teknologi Kimpalan,,,,327,
Pekerja Sokongan Pekeranian                                                                                                                                                                                                                             Clerical Support Workers,Kerani Perbankan Komersial & Runcit,,,,20,5
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Pekerja Perkhidmatan & Jualan                                                                                                                                                                                                                           Service & Sales Workers,Bakery Dan Pastri,,,,120,23
,Pengurusan Perniagaan,,,,408,
,Pengurusan Peruncitan,,,,78,
,Penyediaan & Pembuatan Makanan (HT-012-3:2012),,,,28,
"Pekerja Mahir Pertanian, Perhutanan & Perikanan                                                                                                                                                                                                  Skilled Agricultural, Forestry & Fishery Workers",Operasi Pengeluaran Tanaman ( A016-001-3:2016 ),,,,25,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Pekerja Kemahiran & Pertukangan yang Berkaitan                                                                                                                                                                                                    Craft & Related Trade Workers,Fesyen Dan Membuat Pakaian,,,,208,3
,Seni Kulinari,,,,87,
,Operasi Pembuatan Perabot (Rb-050-2/3:2012),,,,11,
,Operasi Peruncitan (Jabatan)(DT-010-3:2014),,,,16,
,,,,,,
Operator Logi & Mesin & Pemasang                                                                                                                                                                                                                        Plant & Machine Operator & Assemblers,Teknologi Pembinaan,,,,217,4
,Teknologi Pemesinan Industri,,,,268,
,Teknologi Penyejukbekuan & Penyaman Udara,,,,195,
,Pembuat Pakaian Wanita,,,,20,
,Pembuatan Pakaian Wanita (TA-011-3:2013),,,,7,
Pekerjaan Asas Elementary Occupation,Pengajian Awal Kanak-Kanak,,,,106,615
,,,,,,
,,,,,,
TOTAL,,,,,4101,781
